1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	-0.789926	-0.881963	2.300931	0.000000	2153.608929	0.000301	0.174306	0.006957	4.3	0.0	1028.4
1	-0.694248	-0.882174	4.698139	0.000000	2153.608929	0.000310	0.180346	0.007289	4.4	0.0	105.4
2	-0.791503	-0.882377	2.271854	1.000000	2055.717614	0.000278	0.144383	0.005802	4.3	0.0	105.6
3	-0.740745	-0.880582	3.495929	2.000000	1966.338587	0.000310	0.168582	0.006774	4.1	0.0	105.1
4	-0.784441	-0.885792	2.533767	3.000000	1884.407813	0.000272	0.170190	0.006866	4.5	0.0	105.7
5	-0.756897	-0.885318	3.210519	4.000000	1809.031500	0.000267	0.184402	0.007369	4.4	0.0	105.4
6	-0.790923	-0.887014	2.402282	5.000000	1739.453366	0.000260	0.172363	0.006942	4.0	0.0	104.9
7	-0.778422	-0.889675	2.781312	6.000000	1675.029167	0.000286	0.183750	0.007376	4.2	0.0	105.2
8	-0.793987	-0.884717	2.268268	7.000000	1615.206697	0.000263	0.175478	0.007061	4.2	0.0	105.1
9	-0.790072	-0.887299	2.430669	8.000000	1559.509914	0.000286	0.182752	0.007341	4.2	0.0	105.2
10	-0.805841	-0.890371	2.113243	9.000000	1507.526250	0.000242	0.179203	0.007202	4.1	0.0	105.1
11	-0.795026	-0.881588	2.164064	10.000000	1458.896371	0.000336	0.182255	0.007351	4.1	0.0	105.1
12	-0.809707	-0.887457	1.943742	11.000000	1413.305860	0.000269	0.184379	0.007362	4.0	0.0	104.9
13	-0.807734	-0.886524	1.969760	12.000000	1370.478409	0.000281	0.181673	0.007354	4.1	0.0	105.0
14	-0.819818	-0.889889	1.751791	13.000000	1330.170221	0.000251	0.188965	0.007526	4.3	0.0	105.2
15	-0.814634	-0.887738	1.827602	14.000000	1292.165357	0.000261	0.183221	0.007412	4.1	0.0	105.1
16	-0.826771	-0.888599	1.545707	15.000000	1256.271875	0.000271	0.192375	0.007654	4.4	0.0	105.8
17	-0.817765	-0.886353	1.714681	16.000000	1222.318581	0.000275	0.187096	0.007573	6.0	0.0	107.0
18	-0.829679	-0.884156	1.361908	17.000000	1190.152303	0.000284	0.197098	0.007820	5.0	0.0	106.0
19	-0.822417	-0.887191	1.619348	18.000000	1159.635577	0.000269	0.193732	0.007821	4.2	0.0	105.3
20	-0.843654	-0.892322	1.216724	19.000000	1130.644688	0.000236	0.203864	0.008111	4.1	0.0	105.0
